library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1,2022-03-14_thaw-3_no-antibody_control_1,0,3388034,260450,2403389,3973101,0.0465,0.0465
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1,2022-03-14_thaw-3_no-antibody_control_1,1,3388034,260450,3974373,5328219,0.05734,0.05734
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1,2022-03-14_thaw-3_no-antibody_control_1,2,3388034,260450,3623793,4194961,0.06641,0.06641
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1,2022-03-14_thaw-3_no-antibody_control_1,3,3388034,260450,2353212,2228454,0.08118,0.08118
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1,2022-03-14_thaw-3_no-antibody_control_1,4,3388034,260450,2342217,1462079,0.1231,0.1231
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_19.95_1,2022-03-14_thaw-3_no-antibody_control_1,0,7188763,260450,774183,3973101,0.00706,0.00706
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_19.95_1,2022-03-14_thaw-3_no-antibody_control_1,1,7188763,260450,2157536,5328219,0.01467,0.01467
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_19.95_1,2022-03-14_thaw-3_no-antibody_control_1,2,7188763,260450,2469522,4194961,0.02133,0.02133
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_19.95_1,2022-03-14_thaw-3_no-antibody_control_1,3,7188763,260450,2049915,2228454,0.03333,0.03333
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_19.95_1,2022-03-14_thaw-3_no-antibody_control_1,4,7188763,260450,2624168,1462079,0.06503,0.06503
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1,2022-03-14_thaw-3_no-antibody_control_1,0,6100442,260450,739006,3973101,0.007941,0.007941
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1,2022-03-14_thaw-3_no-antibody_control_1,1,6100442,260450,2237699,5328219,0.01793,0.01793
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1,2022-03-14_thaw-3_no-antibody_control_1,2,6100442,260450,2648353,4194961,0.02695,0.02695
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1,2022-03-14_thaw-3_no-antibody_control_1,3,6100442,260450,2177932,2228454,0.04173,0.04173
Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1,2022-03-14_thaw-3_no-antibody_control_1,4,6100442,260450,2829658,1462079,0.08263,0.08263
